CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1732553501.478656,ble-pd-B43A31EF7527,638,21,-88.0,,-77.0,-81.0,-65.0,1.6898833033633158,,0.8649041745806739,1.6566731519378097,-2.9229015090885317,0.5390769346957849,,0.37092590886407695,0.4531586308188938,0.49598967562118934,,,,-5.054328666891275,0.4,1.92
1732553501.529916,ble-pd-B43A31EB228D,804,20,-88.0,-75.0,-88.0,,-63.0,2.1278731678243634,2.4948855281770554,1.3507814038668724,,-2.1713890449271323,0.20698783742930624,1.038182684327652,0.36139046058104823,,0.41578729265024056,0.21634718775749207,0.547796607017517,-12.054305076599121,-5.075109876099743,0.4,1.92
1732553501.550042,ble-pd-B43A31EB2289,972,1,-91.0,-71.0,-81.0,-80.0,-67.0,1.6132337987653091,1.2244777933765565,0.9484840232833937,1.6516120806022232,-1.9402100914501985,0.8719410451289903,0.828569935459423,0.5429047294200694,0.3423926344973999,1.157417311783204,-1.322741985321045,1.413593053817749,0.8578749895095825,-5.083269115595055,0.4,1.92
1732553502.179467,ble-pd-B43A31EF7B26,747,14,-79.0,-75.0,-77.0,-86.0,-61.0,1.3745698239878963,3.0587278636397595,1.2855350224243671,1.446724977930285,-2.0954581696676335,0.463428345903971,0.3058678462001539,0.5602914762022744,0.5649990794821802,0.5381912637891496,-1.5094393491744995,0.19593369960784912,-1.1944671869277954,-5.338442986177196,0.4,1.92
1732553502.478053,ble-pd-B43A31EF7527,639,33,-76.0,-67.0,-86.0,-94.0,,1.7365141887861673,2.969801186416488,0.8864771109908608,1.6091202801455728,,0.5285625416855567,0.07426619180422424,0.39243672704183763,0.42663021741034196,,-1.3099355697631836,1.629051685333252,-0.04090914502739906,-5.45949211088886,0.4,1.92
1732553502.530644,ble-pd-B43A31EB228D,805,9,-92.0,-72.0,,-77.0,,1.7796494089621806,2.8180164506162937,,1.6688427328550357,,0.2691313698857602,0.9600683745510749,,0.5173727710228844,,-0.05244693160057068,0.46873903274536133,-12.1612491607666,-5.480812918018836,0.4,1.92
1732553502.543187,ble-pd-B43A31EB2289,973,33,,-90.0,,-95.0,-69.0,,1.2145689699086983,,1.7217703963592705,-0.8538925939703012,,0.7889065452384914,,0.2964654228135747,0.7912506466203796,,,,-5.485897949370804,0.4,1.92
1732553503.180248,ble-pd-B43A31EF7B26,748,31,-85.0,-75.0,-91.0,-82.0,,1.382430410261374,3.0354603578279553,1.5035728145591165,1.5734696078971182,,0.4577812126809988,0.36283888731891506,0.6593870345738503,0.4273508688013174,,-1.8400245904922485,0.337636023759842,-1.5762194395065308,-5.744167514715251,0.4,1.92
1732553503.476806,ble-pd-B43A31EF7527,640,17,-78.0,-72.0,-80.0,-85.0,,1.8266504737765532,3.0373405495575514,1.066398942656069,1.8151296389008704,,0.4823990743235278,0.14421733027322034,0.2458978027330976,0.5654347726365171,,-1.6116926670074463,1.9103753566741943,-0.09622125327587128,-5.864394472195649,0.4,1.92
1732553503.530017,ble-pd-B43A31EB228D,806,32,-90.0,-77.0,,-81.0,-70.0,2.242125441749853,2.43393162977954,,1.6761712195427159,-1.7543817811051148,0.16366271722281334,0.8482822543740259,,0.5638314830812622,0.5118951113582901,-0.3271602690219879,0.34024110436439514,-12.411946296691895,-5.885966632226703,0.4,1.92
1732553503.551975,ble-pd-B43A31EB2289,974,27,,-79.0,-91.0,-86.0,-67.0,,1.2633274547264144,0.9140549430269583,1.7171269086826084,-1.0122945878626406,,0.7975325240092581,0.5326203669489968,0.3830051420413221,0.8050126634789952,,,,-5.894868579003909,0.4,1.92
1732553504.18202,ble-pd-B43A31EF7B26,749,33,-86.0,-79.0,-75.0,-76.0,-59.0,1.2556650076380385,3.0816885732939867,1.6617336906411784,1.4395866409444367,-2.2741561181541528,0.39557046869653395,0.4362776183276949,0.6080956172433601,0.4698012903925306,0.3840834319089396,-2.188730001449585,0.512054145336151,-1.7378040552139282,-6.128192956324184,0.4690982736834983,1.92
1732553504.480314,ble-pd-B43A31EF7527,641,14,-82.0,-68.0,,,,1.8929983386459153,3.041967525635455,,,,0.4345170358205571,0.09577847472058455,,,,,,,-6.23578016281126,0.5108176008221217,1.92
1732553504.530328,ble-pd-B43A31EB228D,807,26,-90.0,-74.0,,-84.0,-67.0,1.8322409815368474,2.6703921050710213,,1.7066148792278477,-1.1581627919375816,0.3859864177236113,0.821173538163946,,0.5399725557703785,0.8337960201600815,-0.615013301372528,0.20959952473640442,-12.692777633666992,-6.253818965285479,0.5178125468401814,1.92
1732553505.179028,ble-pd-B43A31EF7B26,750,32,-80.0,-71.0,-85.0,-79.0,-57.0,1.639377518554399,3.0886980132830755,1.6879876652993975,1.5405092609818614,-2.2936900152498216,0.42954538011856996,0.336696698847452,0.5409744369724664,0.4845217468703754,0.28644410903099443,-2.419731616973877,0.7184337973594666,-2.1075098514556885,-6.48778887701071,0.6085395729111884,1.92
1732553505.485529,ble-pd-B43A31EF7527,642,25,-80.0,-73.0,-81.0,-81.0,,2.0005964382717325,3.068766915684922,0.9060638618600665,2.0385667238296463,,0.528954858603639,0.11529319540468207,0.27130113044963183,0.4718928705336516,,-1.889296293258667,2.2209582328796387,-0.0005868133157491684,-6.5983361437190435,0.6514067290970829,1.92
1732553505.528715,ble-pd-B43A31EB228D,808,26,-83.0,-81.0,,-83.0,-61.0,1.844764762879054,2.689468327959259,,1.7398250306533538,-0.8104126501560572,0.34134195086833635,0.8184547835861113,,0.6123345041714121,0.5553986996814458,-0.9244751930236816,0.0969693213701248,-12.996752738952637,-6.613912256880391,0.6574467126763992,1.92
1732553505.549835,ble-pd-B43A31EB2289,976,28,-84.0,-85.0,-92.0,-82.0,-75.0,1.6263179092008686,1.3361691715978257,0.9883398268930835,1.7860074397486358,-2.022153363767837,0.8269075237279684,0.8093608208327906,0.5860866547837001,0.39869159362556594,0.7751404675080057,-1.4815430641174316,1.6111719608306885,1.03512966632843,-6.621529714157463,0.6604005507997532,1.92
1732553506.179089,ble-pd-B43A31EF7B26,751,34,-86.0,-96.0,-86.0,-79.0,-58.0,1.2545374252324988,3.0634549745746504,1.7563872294725567,1.6122361786209656,-1.5058388790007633,0.43584362293855283,0.28484754900567205,0.4287196670225909,0.5768619973998836,0.7482224173258524,-2.58151626586914,0.8935880064964294,-2.287000894546509,-6.848485938656845,0.7484078639850245,1.92
1732553506.476793,ble-pd-B43A31EF7527,643,32,-78.0,-69.0,-85.0,-78.0,-69.0,2.116656998577386,3.022816734236695,0.6717690691670375,2.256008500512436,-0.8495610914654518,0.5956910789389619,0.0966719236544141,0.25053215243826943,0.4082537068090091,0.7016785693371852,-2.072768449783325,2.629897117614746,0.08844197541475296,-6.955860346858246,0.790044673865467,1.92
1732553506.529931,ble-pd-B43A31EB228D,809,4,-88.0,-72.0,,-74.0,-63.0,1.8978884350395187,2.7070835406734792,,1.8277439677201397,-1.0129348722165696,0.33905213167357257,0.8130991000549348,,0.5954259612524445,0.5314960206905129,,,,-6.975025898221364,0.7974765417726062,1.92
1732553506.551878,ble-pd-B43A31EB2289,977,31,,-86.0,-93.0,-99.0,-71.0,,1.3494418338385625,0.9657341166121639,1.995870392601278,-1.1452823099134761,,0.884729611262578,0.49095091734744933,0.4684338903308294,0.7245940769035513,,,,-6.982941633773444,0.8005460439171728,1.92
1732553507.179065,ble-pd-B43A31EF7B26,752,16,-89.0,-74.0,-74.0,-70.0,,1.312981826934833,3.038333376011933,1.8021323475168476,1.6734627847141053,,0.4653302756859647,0.3514196520388188,0.3817877445280196,0.6903325669664075,,-2.638638973236084,0.949570596218109,-2.4357051849365234,-7.143670014590571,0.9478298206098393,1.92
1732553507.477088,ble-pd-B43A31EF7527,644,19,-85.0,-84.0,-96.0,-83.0,-62.0,2.0461242423710733,3.068416443685468,1.2800960485300983,2.2596794017590014,-0.9971167310318013,0.7202697599912335,0.13964386708847046,0.3358131618663046,0.5179040383708415,0.7956513839856078,-2.238832712173462,2.86698842048645,0.11999096721410751,-7.1431255989479965,1.0877835275828585,1.92
1732553507.544259,ble-pd-B43A31EB2289,978,0,-90.0,-82.0,-81.0,-87.0,-67.0,1.6009326576902332,1.4545360294074874,1.0299234894180167,1.961456492363056,-1.4174945831867505,0.8313712480310501,0.9633976588088101,0.5255003724851564,0.45514914399664624,0.6658884215488524,-1.452429175376892,1.689616322517395,0.7135462164878845,-7.1430028938442724,1.1193275038903403,1.92
1732553508.184019,ble-pd-B43A31EF7B26,753,4,-75.0,-70.0,,-79.0,-53.0,1.8680253444720243,3.044759583722294,,1.412981129022327,-2.0056206371491094,0.4768127277524367,0.36192831925270336,,0.6783875571081024,0.5416016548273743,,,,-7.141834207697589,1.4197633211697405,1.92
1732553508.47844,ble-pd-B43A31EF7527,645,23,,-85.0,-89.0,,,,3.0398662915353825,1.2504595929713695,,,,0.1488130807873428,0.3199185176638438,,,-2.3889565467834473,2.977078914642334,0.17185084521770477,-7.141296372034227,1.558025503486888,1.92
1732553508.530738,ble-pd-B43A31EB228D,811,35,-87.0,-80.0,-81.0,-91.0,-53.0,2.4245807385600537,2.9846035683873664,2.515438207573633,2.0045491019616284,-1.0510202232964492,0.20474828540011772,0.7197402569874986,1.10107283399571,0.5326972990149864,0.4894098501901127,-1.1512765884399414,0.011529015377163887,-10.594195365905762,-7.141200836289418,1.582585013884659,1.92
1732553508.552744,ble-pd-B43A31EB2289,979,30,-95.0,-95.0,-89.0,-86.0,-65.0,1.6732103170427657,1.5601048002826645,1.0582012001885872,2.3074522506572785,-0.07816263169073683,0.8169091514684566,1.0057182845863957,0.5667289357682411,0.6248766613251402,0.8362372687275503,-1.466238260269165,1.7194746732711792,0.34255915880203247,-7.141160636671836,1.5929191870043453,1.92
1732553509.179685,ble-pd-B43A31EF7B26,754,22,-79.0,-68.0,-72.0,-69.0,-56.0,2.0603758826285232,3.072508657016484,1.7859930586787494,1.820760094077516,-0.4203595537009735,0.4386110800748223,0.39977709808588224,0.27886703794849244,0.6087263203685181,1.3990182005943608,-2.769840717315674,0.96030855178833,-2.5424811840057373,-7.140015367724907,1.8873351112899592,1.92
1732553509.482152,ble-pd-B43A31EF7527,646,31,,-87.0,-91.0,,-69.0,,2.9787675171745667,1.1784658265910395,,-1.8482505574566221,,0.16287565325215408,0.31235823609278596,,0.5515266760270473,,,,-7.139462833973612,2.02937575206939,1.92
1732553509.529627,ble-pd-B43A31EB228D,812,36,-95.0,-75.0,-81.0,-82.0,-55.0,2.486670208846379,2.915000255401491,2.589660507154141,2.139357251077003,-0.9722544445671115,0.22704758235286687,0.7645323628357048,0.8811158348213949,0.6490300676735594,0.4837721533333602,-1.3605260848999023,-0.0640724003314972,-8.530359268188477,-7.13937610867848,2.0516703475823,1.92
