,file_name,ppe_id,anchor,nao_recebidos_count,total_esperado,nao_recebidos_loss_percentage
83,CLB_C1P5_data.csv,ble-pd-B43A31EF7B45,7,149,181,17.67955801104972
84,CLB_C2P1_data.csv,ble-pd-B43A31EF7B45,1,179,181,1.1049723756906076
85,CLB_C2P1_data.csv,ble-pd-B43A31EF7B45,2,179,181,1.1049723756906076
86,CLB_C2P1_data.csv,ble-pd-B43A31EF7B45,3,179,181,1.1049723756906076
87,CLB_C2P1_data.csv,ble-pd-B43A31EF7B45,4,181,181,0.0
88,CLB_C2P1_data.csv,ble-pd-B43A31EF7B45,5,143,181,20.994475138121548
89,CLB_C2P1_data.csv,ble-pd-B43A31EF7B45,6,134,181,25.96685082872928
90,CLB_C2P1_data.csv,ble-pd-B43A31EF7B45,7,140,181,22.65193370165746
91,CLB_C2P2_data.csv,ble-pd-B43A31EF7B45,1,176,181,2.7624309392265194
92,CLB_C2P2_data.csv,ble-pd-B43A31EF7B45,2,179,181,1.1049723756906076
93,CLB_C2P2_data.csv,ble-pd-B43A31EF7B45,3,170,181,6.077348066298343
94,CLB_C2P2_data.csv,ble-pd-B43A31EF7B45,4,180,181,0.5524861878453038
95,CLB_C2P2_data.csv,ble-pd-B43A31EF7B45,5,140,181,22.65193370165746
96,CLB_C2P2_data.csv,ble-pd-B43A31EF7B45,6,140,181,22.65193370165746
97,CLB_C2P2_data.csv,ble-pd-B43A31EF7B45,7,126,181,30.386740331491712
98,CLB_C2P3_data.csv,ble-pd-B43A31EF7B45,1,179,181,1.1049723756906076
99,CLB_C2P3_data.csv,ble-pd-B43A31EF7B45,2,177,181,2.209944751381215
100,CLB_C2P3_data.csv,ble-pd-B43A31EF7B45,3,179,181,1.1049723756906076
101,CLB_C2P3_data.csv,ble-pd-B43A31EF7B45,4,181,181,0.0
102,CLB_C2P3_data.csv,ble-pd-B43A31EF7B45,5,170,181,6.077348066298343
103,CLB_C2P3_data.csv,ble-pd-B43A31EF7B45,6,169,181,6.629834254143646
104,CLB_C2P3_data.csv,ble-pd-B43A31EF7B45,7,169,181,6.629834254143646
105,CLB_C2P4_data.csv,ble-pd-B43A31EF7B45,1,180,181,0.5524861878453038
106,CLB_C2P4_data.csv,ble-pd-B43A31EF7B45,2,178,181,1.6574585635359116
107,CLB_C2P4_data.csv,ble-pd-B43A31EF7B45,3,181,181,0.0
108,CLB_C2P4_data.csv,ble-pd-B43A31EF7B45,4,181,181,0.0
109,CLB_C2P4_data.csv,ble-pd-B43A31EF7B45,5,154,181,14.917127071823206
110,CLB_C2P4_data.csv,ble-pd-B43A31EF7B45,6,152,181,16.022099447513813
111,CLB_C2P4_data.csv,ble-pd-B43A31EF7B45,7,155,181,14.3646408839779
112,CLB_C2P5_data.csv,ble-pd-B43A31EF7B45,1,179,181,1.1049723756906076
113,CLB_C2P5_data.csv,ble-pd-B43A31EF7B45,2,177,181,2.209944751381215
114,CLB_C2P5_data.csv,ble-pd-B43A31EF7B45,3,181,181,0.0
115,CLB_C2P5_data.csv,ble-pd-B43A31EF7B45,4,180,181,0.5524861878453038
116,CLB_C2P5_data.csv,ble-pd-B43A31EF7B45,5,181,181,0.0
117,CLB_C2P5_data.csv,ble-pd-B43A31EF7B45,6,176,181,2.7624309392265194
118,CLB_C2P5_data.csv,ble-pd-B43A31EF7B45,7,174,181,3.867403314917127
119,CLB_C3P1_data.csv,ble-pd-B43A31EF7B45,1,181,181,0.0
120,CLB_C3P1_data.csv,ble-pd-B43A31EF7B45,2,178,181,1.6574585635359116
121,CLB_C3P1_data.csv,ble-pd-B43A31EF7B45,3,178,181,1.6574585635359116
122,CLB_C3P1_data.csv,ble-pd-B43A31EF7B45,4,175,181,3.314917127071823
