,file_name,ppe_id,anchor,nao_processados_count,total_esperado,nao_processados_loss_percentage
130,STC_C4P5_data.csv,Capacete,1,163,181,9.94475138121547
131,STC_C4P5_data.csv,Capacete,2,144,181,20.441988950276244
132,STC_C4P5_data.csv,Capacete,3,172,181,4.972375690607735
133,STC_C4P5_data.csv,Capacete,4,171,181,5.524861878453039
134,STC_C4P5_data.csv,Capacete,5,145,181,19.88950276243094
135,STC_C4P5_data.csv,Capacete,6,117,181,35.35911602209944
136,STC_C4P5_data.csv,Capacete,7,137,181,24.30939226519337
137,STC_C4P6_data.csv,Capacete,1,6,181,96.68508287292818
138,STC_C4P6_data.csv,Capacete,2,163,181,9.94475138121547
139,STC_C4P6_data.csv,Capacete,3,181,181,0.0
140,STC_C4P6_data.csv,Capacete,4,161,181,11.049723756906078
141,STC_C4P6_data.csv,Capacete,5,127,181,29.83425414364641
142,STC_C4P6_data.csv,Capacete,6,125,181,30.939226519337016
143,STC_C4P6_data.csv,Capacete,7,126,181,30.386740331491712
144,STC_OFICINA_data.csv,Capacete,1,176,181,2.7624309392265194
145,STC_OFICINA_data.csv,Capacete,2,149,181,17.67955801104972
146,STC_OFICINA_data.csv,Capacete,3,169,181,6.629834254143646
147,STC_OFICINA_data.csv,Capacete,4,175,181,3.314917127071823
148,STC_OFICINA_data.csv,Capacete,5,180,181,0.5524861878453038
149,STC_OFICINA_data.csv,Capacete,6,151,181,16.574585635359114
150,STC_OFICINA_data.csv,Capacete,7,166,181,8.287292817679557
151,STC_PORTAdeENTRADA_data.csv,Capacete,1,178,181,1.6574585635359116
152,STC_PORTAdeENTRADA_data.csv,Capacete,2,161,181,11.049723756906078
153,STC_PORTAdeENTRADA_data.csv,Capacete,3,180,181,0.5524861878453038
154,STC_PORTAdeENTRADA_data.csv,Capacete,4,129,181,28.7292817679558
155,STC_PORTAdeENTRADA_data.csv,Capacete,5,148,181,18.23204419889503
156,STC_PORTAdeENTRADA_data.csv,Capacete,6,125,181,30.939226519337016
157,STC_PORTAdeENTRADA_data.csv,Capacete,7,145,181,19.88950276243094
158,STC_SALAdeREUNIAO_data.csv,Capacete,1,170,181,6.077348066298343
159,STC_SALAdeREUNIAO_data.csv,Capacete,2,172,181,4.972375690607735
160,STC_SALAdeREUNIAO_data.csv,Capacete,3,170,181,6.077348066298343
161,STC_SALAdeREUNIAO_data.csv,Capacete,4,163,181,9.94475138121547
162,STC_SALAdeREUNIAO_data.csv,Capacete,5,142,181,21.54696132596685
163,STC_SALAdeREUNIAO_data.csv,Capacete,6,130,181,28.176795580110497
164,STC_SALAdeREUNIAO_data.csv,Capacete,7,146,181,19.337016574585636
