CreateTime,ppeID,BeaconID,Channel,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,Azim_1,Azim_2,Azim_3,Azim_4,Azim_5,Azim_6,Elev_1,Elev_2,Elev_3,Elev_4,Elev_5,Elev_6,X_sylabs,Y_sylabs,Z_sylabs,X_real,Y_real,Z_real
1733924603.088865,ble-pd-B43A31EF7B26,112,35,-71.0,-79.0,-76.0,-62.0,,,2.5666401426914964,-2.632638334509731,1.5839427551999636,-3.0860548259011717,,,0.23962685731428804,0.20493369134625766,0.3439523480793184,0.41373166272373396,,,-3.9771978855133057,2.055054187774658,0.8488078117370605,-5.862152529078989,4.464752967616832,1.92
1733924604.087038,ble-pd-B43A31EF7B26,113,20,-77.0,-72.0,-71.0,-60.0,-44.0,-58.0,2.556378983011421,-2.589190192905633,1.453982091900751,-3.124801955549062,1.4496829940439164,-1.0649666171125733,0.26118073547792403,0.20171765801387798,0.41743964848847853,0.4763531327273163,1.2894270182373901,0.6053267813369201,-4.2648797035217285,2.2138161659240723,0.8492870330810547,-5.431139892735507,4.465688856087262,1.92
1733924605.088754,ble-pd-B43A31EF7B26,114,24,-67.0,-70.0,-89.0,-51.0,,,2.487576216249224,-2.560701559776729,1.3625935885658098,3.1126531472883383,,,0.2006097663556482,0.25198039608381134,0.586906242609172,0.5582361816310057,,,-4.54902982711792,2.4007210731506348,0.8472328186035156,-4.998597383543768,4.466628066479694,1.92
1733924606.088,ble-pd-B43A31EF7B26,115,29,-73.0,-69.0,-75.0,-45.0,-50.0,,2.3883079518809565,-2.4083804633329926,1.3141541504466854,3.1056319893904534,0.7123592669385929,,0.2595503149690639,0.26361090326213493,0.5933853806461985,0.7334714489889198,0.7694944333790392,,-4.78084135055542,2.5981228351593018,0.8809887170791626,-4.567121424150277,4.4675649609965,1.92
1733924607.086176,ble-pd-B43A31EF7B26,116,18,-74.0,-65.0,-76.0,-44.0,,,2.3281455449594124,-2.047895777128194,1.2603660195942463,3.0953958634246246,,,0.3101093297102686,0.2593008100644371,0.6384809537006193,0.7345459013307123,,,-4.969696044921875,2.8690178394317627,0.8992985486984253,-4.136107492402182,4.4685008522797345,1.92
1733924608.088234,ble-pd-B43A31EF7B26,117,0,-72.0,-71.0,-81.0,-52.0,-53.0,-62.0,2.29258009386584,-2.008716416435384,1.238781631591372,-3.1280917584436363,0.5331004488826169,-0.8673151662725812,0.4972022552427332,0.33799252645485733,0.6076226398337621,0.7037148848650284,0.6937649952810329,0.425302507781666,-5.10142183303833,3.1562752723693848,0.899503529071808,-3.7034173070845307,4.469440383331869,1.92
1733924609.088654,ble-pd-B43A31EF7B26,118,36,-69.0,-65.0,-76.0,-60.0,-57.0,,2.2117851127150163,-2.0238090829650814,1.2622760387280512,-2.86462443285377,0.5059951312638847,,0.48621977838140995,0.32613486828030674,0.6702739039520397,0.7685602608263951,0.6331524770571678,,-5.1898369789123535,3.42602801322937,0.8548842072486877,-3.271434412685719,4.470378378592798,1.92
1733924610.087117,ble-pd-B43A31EF7B26,119,33,-67.0,-73.0,-77.0,-60.0,-59.0,-59.0,2.2022169075505795,-2.0147219778515675,1.2643442496306065,-2.585211430237055,-2.3845166904815573,-0.8171082019997792,0.5287374780796612,0.4343821467113446,0.6480825149577092,0.8695372093500575,1.263245126068123,0.30889501488387455,-5.204962730407715,3.668421506881714,0.7995923161506653,-2.840296553896289,4.471314538967654,1.92
1733924611.088495,ble-pd-B43A31EF7B26,120,24,-73.0,-79.0,,-85.0,,,2.2292495905115377,-1.8513590160541993,,-2.7423973230440386,,,0.4226675002873313,0.38371707157972756,,0.8143638352566134,,,-5.151208877563477,3.881385087966919,0.7449735403060913,-2.4078999936243104,4.47225343245079,1.92
1733924612.089105,ble-pd-B43A31EF7B26,121,4,,-76.0,,-62.0,-51.0,-56.0,,-1.687883003068557,,-0.54494507699972,0.3326895650956175,-0.49284089423555233,,0.1803040285711483,,0.121986759521352,1.1305691962270643,0.536171084528926,-5.032629013061523,4.072805404663086,0.7285409569740295,-1.9758350569333247,4.473191605855999,1.92
1733924613.088007,ble-pd-B43A31EF7B26,122,17,,-66.0,,-69.0,,-65.0,,-1.7069542991087783,,-0.031858597172290906,,-0.6359978150236603,,0.28869112295941535,,0.33794771876951674,,0.3439410747052656,-4.8817291259765625,4.24315357208252,0.716853678226471,-1.5445076372688211,4.474128177837899,1.92
1733924614.088611,ble-pd-B43A31EF7B26,123,14,,-69.0,,-69.0,,,,-1.7155463225756464,,-0.22672742045556893,,,,0.19530534867545563,,0.5149864788176325,,,,,,-1.1729717382520817,4.474934920227613,1.92
1733924615.088681,ble-pd-B43A31EF7B26,124,22,,-68.0,,-69.0,-48.0,-54.0,,-1.6999794802138608,,-0.1668406507068481,0.5264848270743409,-0.611386105500202,,0.19594324233555685,,0.3192813230835287,0.627614706519814,0.45724053728644865,,,,-1.5965703288931112,4.474015130403272,1.92
1733924616.088716,ble-pd-B43A31EF7B26,125,33,,-72.0,,-62.0,,-53.0,,-1.719764769742332,,0.050913514771807854,,-0.48804093165754836,,0.23160310248977237,,0.2775213592944322,,0.5207749631480312,,,,-2.020154094621212,4.47309537276932,1.92
1733924617.087021,ble-pd-B43A31EF7B26,126,12,-68.0,-72.0,-81.0,-64.0,-49.0,-53.0,1.5476689032564304,-1.7233569745786852,0.6854744950849122,0.416086429759582,0.5420342401893955,-0.597722795753883,0.28418582005381465,0.3177110234362771,0.5048165989839196,0.2440672290235612,0.42741395661080384,0.4767832436140048,-4.669699668884277,4.39180850982666,0.6947056651115417,-2.443005086081703,4.472177206260387,1.92
1733924618.08869,ble-pd-B43A31EF7B26,127,1,-68.0,-69.0,-73.0,-53.0,,,1.469008179403196,-1.8048849908195534,0.6660999981545858,0.3029500203308358,,,0.2925745777504824,0.29317498741824083,0.6209543576716715,0.4430258355033603,,,-4.44323444366455,4.52220106124878,0.667332112789154,-2.867280963459096,4.471255945795061,1.92
1733924619.09026,ble-pd-B43A31EF7B26,128,26,,-75.0,-75.0,-52.0,,-50.0,,-2.012324333922169,0.69978579015078,0.28475157533788836,,-0.6516584721111741,,0.3378941559420925,0.6284545516706345,0.48837241149052096,,0.507988122236652,-4.231316566467285,4.63990592956543,0.63483864068985,-3.291514907511348,4.470334776382554,1.92
1733924620.089014,ble-pd-B43A31EF7B26,129,17,,-80.0,-76.0,-49.0,,,,-2.0110719824195593,0.7212777664638285,0.2927671575868088,,,,0.2833475901007122,0.5764841614202286,0.6107338111982199,,,-4.044419288635254,4.680792808532715,0.617552101612091,-3.714556081426265,4.469416196916896,1.92
1733924622.089667,ble-pd-B43A31EF7B26,131,8,,-72.0,-76.0,,,,,-2.011050277656675,0.824375390163521,,,,,0.2615158943011105,0.5258286403790222,,,,-3.8775572776794434,4.69059705734253,0.6270352005958557,-4.561970553574962,4.46757614544906,1.92
1733924623.088324,ble-pd-B43A31EF7B26,132,24,,,-69.0,,-47.0,-53.0,,,0.9135295013438857,,0.48852894575854816,-1.813887324006071,,,0.5152943735291593,,0.5871296571397545,0.9385588416236008,,,,-4.98497064130262,4.46665765519677,1.92
1733924624.089347,ble-pd-B43A31EF7B26,133,29,,-80.0,,,,-55.0,,-2.0168289377479836,,,,-1.5359109885090458,,0.2776394538440204,,,,0.7847891758093712,,,,-5.408972893144246,4.465736988874081,1.92
1733924625.092043,ble-pd-B43A31EF7B26,134,2,-74.0,-68.0,-69.0,,,-52.0,2.4659896977174776,-2.1177803199251812,0.9430604957234473,,,-1.2266487389035952,0.6346513280530853,0.31818992637930055,0.4980658850947323,,,0.449021733175016,,,,-5.833683775823856,4.464814783850724,1.92
1733924626.08872,ble-pd-B43A31EF7B26,135,17,-75.0,-73.0,-74.0,-72.0,-38.0,-64.0,2.4557349296240187,-2.1632604534410094,0.9578586166365816,3.1278214475929933,1.0542555835688712,-1.2661422953604662,0.595549465347997,0.31312492688110616,0.5064832051940913,0.48488387019959894,1.2278747578077378,0.2070271169331476,-3.720193862915039,4.703215599060059,0.6501633524894714,-6.2558451970487,4.463898114654813,1.92
1733924627.086965,ble-pd-B43A31EF7B26,136,6,-80.0,-70.0,-72.0,-65.0,-45.0,-53.0,2.5672143202225173,-2.248506375721683,1.0362391759431397,-3.07783284866777,2.2747195563376446,-1.1827373696740542,0.38275051055159687,0.2747578136760138,0.48189706845804786,0.44279151061694694,1.105527065581633,0.65982179995944,-3.58532452583313,4.724878787994385,0.6978046894073486,-6.678670774372742,4.462980003329406,1.92
1733924628.08906,ble-pd-B43A31EF7B26,137,13,-74.0,-72.0,-65.0,-67.0,-48.0,-52.0,2.6754792753852907,-2.249180688109691,0.9897427801553372,-2.901585380358544,2.8774556333558703,-0.38108460104397024,0.35095875872266696,0.2886016407467887,0.4772881020070158,0.3353196781163129,1.085132123182382,1.4768239355849628,-3.462043523788452,4.753802299499512,0.7377804517745972,-7.103127092118922,4.462058351061041,1.92
1733924629.089048,ble-pd-B43A31EF7B26,138,21,-93.0,-78.0,-69.0,-79.0,,,2.6544419006703186,-2.1396133140158144,1.0126752603020095,-2.898690524253628,,,0.20788274277935692,0.2704433595520309,0.46852080925090683,0.3773758519976535,,,-3.361603021621704,4.78888463973999,0.752501130104065,-7.125293663899109,4.810739505075976,1.92
1733924630.089093,ble-pd-B43A31EF7B26,139,32,-75.0,-76.0,-68.0,-73.0,,,2.741041507733079,-2.4678139630641818,1.00731165386659,-2.8670108915065904,,,0.19602543414469942,0.5345955669504813,0.4432289681155061,0.35977648509191934,,,-3.2916035652160645,4.810063362121582,0.7447696328163147,-7.120268216176992,5.183125181284868,1.92
1733924631.090035,ble-pd-B43A31EF7B26,140,12,-75.0,-78.0,-61.0,-69.0,-46.0,-56.0,2.8052082436696666,-2.5062841239587037,0.9124029842027821,-2.8412365521606944,-2.8495851498653866,-2.2485888116006234,0.19028595581092875,0.5601920071355599,0.44519324915652125,0.36498026857242055,0.7637777910123065,1.092733378172133,-3.2980287075042725,4.837632656097412,0.7492631673812866,-7.115238260831111,5.5558448724146485,1.92
1733924632.091056,ble-pd-B43A31EF7B26,141,25,-72.0,-76.0,-64.0,-72.0,-55.0,-56.0,2.8178231051211537,-2.5051703899908326,1.636914627178294,-2.7885613563277993,-2.5737031581519814,-2.54576564105388,0.24492060570536348,0.49984467696582346,0.498925986258287,0.3666162151405426,0.5659537657237252,0.6743052984108715,-3.33272933959961,4.86923599243164,0.753697693347931,-7.1102079084927245,5.928593980689078,1.92
1733924633.090836,ble-pd-B43A31EF7B26,142,0,-71.0,-77.0,-58.0,-70.0,-56.0,-56.0,2.7978808222464226,-2.5031322728085947,1.73075536924498,-2.7086438867561564,-2.3785425399203275,2.9755596103242015,0.24650318918314307,0.4768160567037993,0.5304433326263979,0.5780353195971452,0.5140284874076165,0.5696515379177208,-3.3776278495788574,4.908537864685059,0.7545652985572815,-7.105183792454328,6.300880979134274,1.92
1733924634.100443,ble-pd-B43A31EF7B26,143,27,-73.0,,-62.0,-71.0,-50.0,-55.0,2.911664379820058,,1.820355293591824,-2.7221567661272186,3.063272491594684,2.577983641094867,0.23634356251962704,,0.5675049809098902,0.5713498531546649,0.4699981115991169,0.35996797989668217,-3.5335323810577393,4.992923736572266,0.7665319442749023,-7.100110293563394,6.676827246952454,1.92
1733924635.089873,ble-pd-B43A31EF7B26,144,28,-70.0,-73.0,-54.0,,-61.0,-63.0,2.9559500855869856,-2.459683598572279,1.8478476381569298,,-1.9296329869376692,1.50755840494883,0.39657757635226104,0.4775617418090215,0.6291705425297023,,1.2344520062647792,0.6255565846915707,-3.7291131019592285,5.108927249908447,0.732274293899536,-6.7010441105617184,6.698369478789112,1.92
1733924636.087683,ble-pd-B43A31EF7B26,145,10,-72.0,-75.0,-49.0,,-52.0,,2.949177666934914,-2.4099812894642394,1.9368760481338427,,-2.165459536352939,,0.39146334166341373,0.38587076995327463,0.6706988113039618,,0.8766382632509307,,-3.94118857383728,5.234310150146484,0.685586452484131,-6.289582009933064,6.71215805535236,1.92
1733924637.08709,ble-pd-B43A31EF7B26,146,34,-77.0,-74.0,-53.0,,-50.0,-56.0,2.947992027617611,-2.444926490339932,1.9935278761064443,,-2.094324317017733,0.05427372005740422,0.3157390525176143,0.3889229522995872,0.7307383799202259,,0.3972015093538235,0.871938955555731,-4.159560680389404,5.364377975463867,0.6210012435913086,-5.877461362111354,6.725968700602803,1.92
1733924638.092909,ble-pd-B43A31EF7B26,147,29,-70.0,-72.0,-54.0,,-54.0,-57.0,2.995714809087395,-2.344766067006488,1.9057016170455932,,-1.7615439733438052,-0.4094561291537573,0.3126342727397727,0.38550298740673467,0.7863851308974317,,0.5282042826820337,0.5372708708961399,-4.385614395141602,5.506292343139648,0.5525547862052917,-5.462696628753086,6.7398679522541896,1.92
